tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
pmd,4,1705,1392,61,0.0023405500292568,0.4414927261227071,0.4414927261227071,0.0045095828635851,Achilles
pmd,6,4689,2915,26,0.0012779552715654,0.3825301204819277,0.3825301204819277,0.0025386079966151,Apex
pmd,31,781,550,51,0.0381773399014778,0.4111818825194621,0.4111818825194621,0.0693512304250559,AxonFramework
pmd,356,1296,738,533,0.2154963680387409,0.3742730071843996,0.3742730071843996,0.2802046438410074,BlackLab
pmd,4,1788,5282,37,0.0022321428571428,0.743355364927577,0.743355364927577,0.0043644298963447,BootsFaces-OSP
pmd,0,16,0,0,0.0,0.0,0.0,0.0,BridgeDb
pmd,31,1326,2035,45,0.0228445099484156,0.6011056153622345,0.6011056153622345,0.0432658757850663,Bukkit
pmd,0,449,331,0,0.0,0.4243589743589743,0.4243589743589743,0.0,Chronicle-Network
pmd,26,859,1443,42,0.0293785310734463,0.619831223628692,0.619831223628692,0.0545645330535152,ClusterMate
pmd,36,524,385,65,0.0642857142857142,0.4168316831683168,0.4168316831683168,0.1089258698940998,DependencyCheck
pmd,3,358,278,3,0.0083102493074792,0.4376947040498442,0.4376947040498442,0.0163487738419618,FluentLenium
pmd,0,0,2266,28,0.0,0.987794245858762,0.987794245858762,0.0,JGroups
pmd,0,472,308,0,0.0,0.3948717948717948,0.3948717948717948,0.0,JSCover
pmd,4,1,1,2,0.8,0.625,0.625,0.7272727272727272,JUberblog
pmd,2,1048,601,10,0.0019047619047619,0.3630343166767008,0.3630343166767008,0.0037664783427495,Java-Lang
pmd,58,364,373,68,0.1374407582938388,0.4994206257242178,0.4994206257242178,0.2116788321167883,Jest
pmd,8,354,285,11,0.0220994475138121,0.4452887537993921,0.4452887537993921,0.0419947506561679,KittehIRCClientLib
pmd,5,2407,1529,72,0.0020729684908789,0.3822576625965612,0.3822576625965612,0.0040176777822418,MapDB
pmd,9,6705,6395,7,0.0013404825737265,0.488258615431534,0.488258615431534,0.0026745913818722,Pipeline
pmd,110,527,97,0,0.1726844583987441,0.2820163487738419,0.2820163487738419,0.2945113788487282,RoaringBitmap
pmd,50,682,590,91,0.0683060109289617,0.4529370134465675,0.4529370134465675,0.1145475372279496,Testy
pmd,38,1971,1631,67,0.0189148830263812,0.4502292959266253,0.4502292959266253,0.0359508041627246,TomP2P
pmd,30,6294,3294,27,0.0047438330170777,0.3446345256609642,0.3446345256609642,0.0094029149036201,Tupl
pmd,3,6745,446,2,0.0004445761707172,0.0623957754307948,0.0623957754307948,0.0008884940026654,TwelveMonkeys
pmd,1,1092,994,18,0.000914913083257,0.4726840855106888,0.4726840855106888,0.0017985611510791,Wikidata-Toolkit
pmd,2,794,912,3,0.0025125628140703,0.5341905318527177,0.5341905318527177,0.0049937578027465,XChart
pmd,30,13,0,0,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.8219178082191781,aesh
pmd,0,53,559,0,0.0,0.9133986928104576,0.9133986928104576,0.0,antlr4
pmd,84,9,3,73,0.9032258064516128,0.514792899408284,0.514792899408284,0.672,api-themoviedb
pmd,0,8,1467,0,0.0,0.9945762711864408,0.9945762711864408,0.0,appkit
pmd,12,422,578,17,0.0276497695852534,0.5733722060252673,0.5733722060252673,0.0518358531317494,as2-lib
