tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
sonarqube,59,941,2156,6,0.059,0.700506008855155,0.700506008855155,0.1107981220657276,Achilles
sonarqube,8,1993,5611,24,0.0039980009995002,0.7358564693556836,0.7358564693556836,0.0078701426463354,Apex
sonarqube,29,306,1025,53,0.0865671641791044,0.745930644019816,0.745930644019816,0.1390887290167866,AxonFramework
sonarqube,376,597,1437,513,0.3864337101747174,0.620253164556962,0.620253164556962,0.4038668098818475,BlackLab
sonarqube,36,5014,2056,5,0.0071287128712871,0.2941920967515117,0.2941920967515117,0.0141426045963464,BootsFaces-OSP
sonarqube,0,0,16,0,0.0,1.0,1.0,0.0,BridgeDb
sonarqube,39,1561,1800,37,0.024375,0.5350596450392784,0.5350596450392784,0.0465393794749403,Bukkit
sonarqube,0,221,559,0,0.0,0.7166666666666667,0.7166666666666667,0.0,Chronicle-Network
sonarqube,31,1253,1049,37,0.0241433021806853,0.4556962025316455,0.4556962025316455,0.0458579881656804,ClusterMate
sonarqube,53,209,700,48,0.2022900763358778,0.7455445544554455,0.7455445544554455,0.2920110192837465,DependencyCheck
sonarqube,3,156,480,3,0.0188679245283018,0.7523364485981309,0.7523364485981309,0.0363636363636363,FluentLenium
sonarqube,0,0,2266,28,0.0,0.987794245858762,0.987794245858762,0.0,JGroups
sonarqube,0,200,580,0,0.0,0.7435897435897436,0.7435897435897436,0.0,JSCover
sonarqube,2,0,2,4,1.0,0.5,0.5,0.5,JUberblog
sonarqube,5,500,1149,7,0.0099009900990099,0.6947621914509332,0.6947621914509332,0.0193423597678916,Java-Lang
sonarqube,7,287,450,119,0.0238095238095238,0.52954808806489,0.52954808806489,0.0333333333333333,Jest
sonarqube,5,178,461,14,0.0273224043715847,0.7082066869300911,0.7082066869300911,0.0495049504950495,KittehIRCClientLib
sonarqube,54,1344,2592,23,0.03862660944206,0.6593570894592574,0.6593570894592574,0.0732203389830508,MapDB
sonarqube,7,5613,7487,9,0.0012455516014234,0.5713632204940531,0.5713632204940531,0.0024840312278211,Pipeline
sonarqube,0,0,624,110,0.0,0.8501362397820164,0.8501362397820164,0.0,RoaringBitmap
sonarqube,65,477,795,76,0.1199261992619926,0.6086341118188252,0.6086341118188252,0.1903367496339677,Testy
sonarqube,23,999,2603,82,0.022504892367906,0.7083895333153494,0.7083895333153494,0.0408163265306122,TomP2P
sonarqube,27,3029,6559,30,0.0088350785340314,0.6828408501814411,0.6828408501814411,0.0173466109861869,Tupl
sonarqube,0,0,7191,5,0.0,0.9993051695386326,0.9993051695386326,0.0,TwelveMonkeys
sonarqube,17,868,1218,2,0.0192090395480226,0.5866983372921615,0.5866983372921615,0.0376106194690265,Wikidata-Toolkit
sonarqube,2,702,1004,3,0.002840909090909,0.5879602571595558,0.5879602571595558,0.005641748942172,XChart
sonarqube,0,0,13,30,0.0,0.3023255813953488,0.3023255813953488,0.0,aesh
sonarqube,0,23,589,0,0.0,0.9624183006535948,0.9624183006535948,0.0,antlr4
sonarqube,69,3,9,88,0.9583333333333334,0.4615384615384615,0.4615384615384615,0.6026200873362446,api-themoviedb
sonarqube,0,0,1475,0,0.0,1.0,1.0,0.0,appkit
sonarqube,15,453,547,14,0.032051282051282,0.5461613216715258,0.5461613216715258,0.0603621730382293,as2-lib
sonarqube,0,0,14716,7,0.0,0.9995245534198194,0.9995245534198194,0.0,biojava
sonarqube,0,3435,7620,1,0.0,0.6892185238784371,0.6892185238784371,0.0,bitcoinj
sonarqube,1,18,55,1,0.0526315789473684,0.7466666666666667,0.7466666666666667,0.0952380952380952,bitvunit
sonarqube,18,869,2235,15,0.020293122886133,0.7182021039209435,0.7182021039209435,0.0391304347826086,blueprints
sonarqube,7,98,119,41,0.0666666666666666,0.4754716981132075,0.4754716981132075,0.0915032679738562,candybean
sonarqube,26,14,246,53,0.65,0.8023598820058997,0.8023598820058997,0.4369747899159664,cassandra-lucene-index
sonarqube,47,202,544,28,0.1887550200803212,0.7198538367844093,0.7198538367844093,0.2901234567901234,cassandra-reaper
sonarqube,0,0,6435,19,0.0,0.9970560892469786,0.9970560892469786,0.0,cdi-tck
sonarqube,7,108,350,10,0.0608695652173913,0.751578947368421,0.751578947368421,0.106060606060606,chicory
sonarqube,132,2172,3311,113,0.0572916666666666,0.6010824022346368,0.6010824022346368,0.1035700274617497,choco3
sonarqube,0,0,352,1,0.0,0.9971671388101984,0.9971671388101984,0.0,clojure
sonarqube,0,0,4,0,0.0,1.0,1.0,0.0,closure-templates
sonarqube,0,354,1212,10,0.0,0.7690355329949239,0.7690355329949239,0.0,cloud-slang
sonarqube,0,0,42,4,0.0,0.9130434782608696,0.9130434782608696,0.0,commons
sonarqube,300,1438,2154,179,0.1726121979286536,0.6028002947678703,0.6028002947678703,0.2706359945872801,commons-bcel
sonarqube,10,343,566,7,0.0283286118980169,0.6220302375809935,0.6220302375809935,0.054054054054054,commons-codec
sonarqube,20,534,1716,13,0.0361010830324909,0.7604029785370127,0.7604029785370127,0.0681431005110732,commons-compress
sonarqube,89,165,2295,98,0.3503937007874015,0.9006422364941443,0.9006422364941443,0.4036281179138322,commons-dbcp
sonarqube,0,67,177,0,0.0,0.7254098360655737,0.7254098360655737,0.0,commons-fileupload
sonarqube,40,741,1669,47,0.0512163892445582,0.68442130556668,0.68442130556668,0.0921658986175115,commons-lang
sonarqube,0,0,0,0,0.0,0.0,0.0,0.0,commons-math
sonarqube,9,21,60,9,0.3,0.696969696969697,0.696969696969697,0.3749999999999999,connector4java
sonarqube,11,265,641,9,0.0398550724637681,0.7041036717062635,0.7041036717062635,0.0743243243243243,couchbase-java-client
sonarqube,0,606,948,0,0.0,0.61003861003861,0.61003861003861,0.0,craft-atom
sonarqube,4,101,301,7,0.0380952380952381,0.738498789346247,0.738498789346247,0.0689655172413793,creadur-rat
sonarqube,231,347,872,25,0.3996539792387543,0.7477966101694915,0.7477966101694915,0.5539568345323741,csvjdbc
sonarqube,168,529,1959,1093,0.2410329985652797,0.5673512936783143,0.5673512936783143,0.1716036772216547,curator
sonarqube,11,136,446,13,0.0748299319727891,0.7541254125412541,0.7541254125412541,0.1286549707602339,dandelion
sonarqube,14,3354,4509,9,0.0041567695961995,0.5735480598529039,0.5735480598529039,0.0082571512828074,dari
sonarqube,68,1548,3834,35,0.042079207920792,0.7113947128532361,0.7113947128532361,0.0791157649796393,dasein-cloud-aws
sonarqube,11,501,1009,1,0.021484375,0.6701708278580815,0.6701708278580815,0.0419847328244274,dasein-cloud-azure
sonarqube,76,1567,1966,45,0.0462568472306755,0.5588396278051451,0.5588396278051451,0.0861678004535147,dasein-cloud-core
sonarqube,35,371,899,18,0.0862068965517241,0.7059712773998488,0.7059712773998488,0.1525054466230937,dasein-cloud-google
sonarqube,42,758,1445,30,0.0525,0.6536263736263737,0.6536263736263737,0.0963302752293577,dasein-cloud-openstack
sonarqube,0,372,570,0,0.0,0.6050955414012739,0.6050955414012739,0.0,datasift-java
sonarqube,0,738,966,0,0.0,0.5669014084507042,0.5669014084507042,0.0,depot
sonarqube,2,157,408,3,0.0125786163522012,0.7192982456140351,0.7192982456140351,0.024390243902439,digipost-api-client-java
sonarqube,0,976,2353,0,0.0,0.7068188645238811,0.7068188645238811,0.0,directory-fortress-core
sonarqube,0,0,10461,3,0.0,0.9997133027522936,0.9997133027522936,0.0,directory-server
sonarqube,0,0,310,52,0.0,0.856353591160221,0.856353591160221,0.0,docker-maven-plugin
sonarqube,10,275,851,13,0.0350877192982456,0.7493472584856397,0.7493472584856397,0.0649350649350649,dropwizard
sonarqube,22,46,340,76,0.3235294117647059,0.7479338842975206,0.7479338842975206,0.2650602409638554,dungeon
sonarqube,8,112,800,23,0.0666666666666666,0.8568398727465536,0.8568398727465536,0.1059602649006622,easy-batch
sonarqube,57,850,1792,29,0.0628445424476295,0.6777859237536656,0.6777859237536656,0.1148036253776435,effektif
sonarqube,25,1254,2507,50,0.0195465207193119,0.6600625651720542,0.6600625651720542,0.0369276218611521,epubcheck
sonarqube,0,0,3229,87,0.0,0.9737635705669482,0.9737635705669482,0.0,error-prone
sonarqube,444,3103,4212,433,0.125176205243868,0.568359375,0.568359375,0.2007233273056057,es6draft
sonarqube,1,85,203,2,0.0116279069767441,0.7010309278350515,0.7010309278350515,0.0224719101123595,experimaestro
sonarqube,0,86,334,11,0.0,0.7749419953596288,0.7749419953596288,0.0,extdirectspring
sonarqube,2,1094,1428,0,0.0018248175182481,0.5665610142630745,0.5665610142630745,0.0036429872495446,facebook4j
sonarqube,0,0,191,3,0.0,0.9845360824742267,0.9845360824742267,0.0,fb-contrib
sonarqube,3,2555,6006,6,0.0011727912431587,0.7011668611435239,0.7011668611435239,0.0023373587845734,finmath-lib
sonarqube,19,1027,1948,22,0.0181644359464627,0.6521883289124668,0.6521883289124668,0.0349586016559337,firefly
sonarqube,88,185,727,151,0.3223443223443223,0.7080799304952216,0.7080799304952216,0.34375,fiware-cygnus
sonarqube,1,43,510,0,0.0227272727272727,0.9223826714801444,0.9223826714801444,0.0444444444444444,flatpack
sonarqube,8,1291,1734,0,0.006158583525789,0.5743488295417079,0.5743488295417079,0.0122417750573833,gedcomx-java
sonarqube,7,729,410,11,0.0095108695652173,0.3604148660328435,0.3604148660328435,0.0185676392572944,git-client-plugin
sonarqube,18,192,312,11,0.0857142857142857,0.6191369606003753,0.6191369606003753,0.1506276150627615,github-api
sonarqube,296,0,792,0,1.0,1.0,1.0,1.0,gooddata-java
sonarqube,0,0,3125,35,0.0,0.9889240506329114,0.9889240506329114,0.0,gradoop
sonarqube,0,0,1488,33,0.0,0.9783037475345168,0.9783037475345168,0.0,guava
sonarqube,16,733,356,29,0.0213618157543391,0.328042328042328,0.328042328042328,0.0403022670025189,gwtbootstrap3
sonarqube,0,0,8459,1,0.0,0.9998817966903072,0.9998817966903072,0.0,hasor
sonarqube,0,0,4604,1203,0.0,0.7928362321336319,0.7928362321336319,0.0,hazelcast
sonarqube,0,0,4182,32,0.0,0.992406264831514,0.992406264831514,0.0,hk2
sonarqube,0,139,381,0,0.0,0.7326923076923076,0.7326923076923076,0.0,hppc
sonarqube,62,478,2453,150,0.1148148148148148,0.8001909004136175,0.8001909004136175,0.1648936170212765,httpclient
sonarqube,0,574,761,1,0.0,0.5696107784431138,0.5696107784431138,0.0,ij1-patcher
sonarqube,0,0,1568,0,0.0,1.0,1.0,0.0,imglib2
sonarqube,0,0,259,71,0.0,0.7848484848484848,0.7848484848484848,0.0,immutables
sonarqube,16,591,755,4,0.0263591433278418,0.5644216691068814,0.5644216691068814,0.0510366826156299,infovore
sonarqube,1,950,1344,4,0.0010515247108307,0.5850369725967812,0.5850369725967812,0.002092050209205,jackcess
sonarqube,0,0,2983,456,0.0,0.8674033149171271,0.8674033149171271,0.0,jackrabbit-oak
sonarqube,37,1500,1736,9,0.0240728692257644,0.5402193784277879,0.5402193784277879,0.0467466835123183,jackson-core
sonarqube,350,3219,3061,106,0.0980666853460353,0.5063836104513064,0.5063836104513064,0.1739130434782608,jackson-databind
sonarqube,3,326,241,7,0.0091185410334346,0.4228769497400346,0.4228769497400346,0.0176991150442477,jackson-dataformat-xml
sonarqube,112,1634,2314,43,0.0641466208476517,0.5912746770655618,0.5912746770655618,0.1178327196212519,jannovar
sonarqube,5,187,359,9,0.0260416666666666,0.65,0.65,0.0485436893203883,java-util
sonarqube,0,0,0,0,0.0,0.0,0.0,0.0,javamailspec
sonarqube,3,548,1082,14,0.0054446460980036,0.6587735276259866,0.6587735276259866,0.0105633802816901,javasimon
sonarqube,0,1857,3884,0,0.0,0.6765371886430935,0.6765371886430935,0.0,javassist
sonarqube,5,793,783,2,0.006265664160401,0.4977890082122552,0.4977890082122552,0.0124223602484472,jaxb2-basics
sonarqube,0,0,31,0,0.0,1.0,1.0,0.0,jaxb2-maven-plugin
sonarqube,0,0,165,157,0.0,0.5124223602484472,0.5124223602484472,0.0,jboss-ejb-client
sonarqube,5,218,326,0,0.0224215246636771,0.6029143897996357,0.6029143897996357,0.043859649122807,jbossws-spi
sonarqube,14,155,233,10,0.0828402366863905,0.5995145631067961,0.5995145631067961,0.1450777202072539,jcunit
sonarqube,2,48,143,3,0.04,0.7397959183673469,0.7397959183673469,0.0727272727272727,jenkins-sonar-plugin
sonarqube,0,229,885,3,0.0,0.7923008057296329,0.7923008057296329,0.0,jline2
sonarqube,2,1237,2247,7,0.0016142050040355,0.6438591468651589,0.6438591468651589,0.0032051282051282,jmeld
sonarqube,0,0,500,10,0.0,0.9803921568627452,0.9803921568627452,0.0,jmeter-plugins
sonarqube,0,0,416,0,0.0,1.0,1.0,0.0,jndn
sonarqube,0,52,157,4,0.0,0.7370892018779343,0.7370892018779343,0.0,jongo
sonarqube,4,17,56,13,0.1904761904761904,0.6666666666666666,0.6666666666666666,0.2105263157894736,jqassistant
sonarqube,2,124,436,8,0.0158730158730158,0.7684210526315789,0.7684210526315789,0.0294117647058823,json-io
sonarqube,0,137,264,0,0.0,0.6583541147132169,0.6583541147132169,0.0,jsonj
sonarqube,1,91,243,2,0.0108695652173913,0.7240356083086054,0.7240356083086054,0.0210526315789473,jsr107tck
sonarqube,41,335,821,1,0.1090425531914893,0.7195325542570952,0.7195325542570952,0.1961722488038277,junit
sonarqube,18,273,211,0,0.0618556701030927,0.4561752988047808,0.4561752988047808,0.116504854368932,junit-plugin
sonarqube,0,0,81,0,0.0,1.0,1.0,0.0,killbill
sonarqube,10,518,1806,10,0.0189393939393939,0.7747440273037542,0.7747440273037542,0.0364963503649635,kontraktor
sonarqube,0,0,0,0,0.0,0.0,0.0,0.0,ldbc_driver
sonarqube,0,0,209,943,0.0,0.1814236111111111,0.1814236111111111,0.0,mahout
sonarqube,0,174,147,0,0.0,0.4579439252336448,0.4579439252336448,0.0,matrix-project-plugin
sonarqube,0,0,0,0,0.0,0.0,0.0,0.0,maven-shared
sonarqube,1,192,505,1,0.005181347150259,0.7238912732474965,0.7238912732474965,0.0102564102564102,metrics
sonarqube,20,193,244,47,0.0938967136150234,0.5238095238095238,0.5238095238095238,0.1428571428571428,mgwt
sonarqube,0,0,4082,30,0.0,0.992704280155642,0.992704280155642,0.0,mina-sshd
sonarqube,101,202,327,102,0.3333333333333333,0.5846994535519126,0.5846994535519126,0.3992094861660079,moquette
sonarqube,0,29,56,0,0.0,0.6588235294117647,0.6588235294117647,0.0,morphia
