tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
findbugs,2,493,2604,63,0.004040404040404,0.8241619228336496,0.8241619228336496,0.0071428571428571,Achilles
findbugs,18,1029,6575,14,0.0171919770773638,0.8634101623886852,0.8634101623886852,0.0333642261353104,Apex
findbugs,22,250,1081,60,0.0808823529411764,0.7806086341118188,0.7806086341118188,0.1242937853107344,AxonFramework
findbugs,175,141,1893,714,0.5537974683544303,0.7074923024290113,0.7074923024290113,0.2904564315352697,BlackLab
findbugs,3,318,6752,38,0.0093457943925233,0.949936717761215,0.949936717761215,0.0165745856353591,BootsFaces-OSP
findbugs,0,0,16,0,0.0,1.0,1.0,0.0,BridgeDb
findbugs,6,508,2853,70,0.0116731517509727,0.8318300843759092,0.8318300843759092,0.0203389830508474,Bukkit
findbugs,0,117,663,0,0.0,0.85,0.85,0.0,Chronicle-Network
findbugs,15,213,2089,53,0.0657894736842105,0.8877637130801688,0.8877637130801688,0.1013513513513513,ClusterMate
findbugs,13,177,732,88,0.0684210526315789,0.7376237623762376,0.7376237623762376,0.0893470790378007,DependencyCheck
findbugs,0,133,503,6,0.0,0.7834890965732088,0.7834890965732088,0.0,FluentLenium
findbugs,28,2266,0,0,0.012205754141238,0.012205754141238,0.012205754141238,0.0241171403962101,JGroups
findbugs,0,137,643,0,0.0,0.8243589743589743,0.8243589743589743,0.0,JSCover
findbugs,0,1,1,6,0.0,0.125,0.125,0.0,JUberblog
findbugs,5,115,1534,7,0.0416666666666666,0.9265502709211318,0.9265502709211318,0.0757575757575757,Java-Lang
findbugs,61,93,644,65,0.3961038961038961,0.816917728852839,0.816917728852839,0.4357142857142857,Jest
findbugs,6,116,523,13,0.0491803278688524,0.8039513677811551,0.8039513677811551,0.0851063829787234,KittehIRCClientLib
findbugs,18,243,3693,59,0.0689655172413793,0.9247445801146276,0.9247445801146276,0.1065088757396449,MapDB
findbugs,0,1304,11796,16,0.0,0.8993595608417201,0.8993595608417201,0.0,Pipeline
findbugs,0,97,527,110,0.0,0.717983651226158,0.717983651226158,0.0,RoaringBitmap
findbugs,30,145,1127,111,0.1714285714285714,0.8188251946213729,0.8188251946213729,0.1898734177215189,Testy
findbugs,46,656,2946,59,0.0655270655270655,0.8071216617210683,0.8071216617210683,0.1140024783147459,TomP2P
findbugs,2,403,9185,55,0.0049382716049382,0.952514256091239,0.952514256091239,0.0086580086580086,Tupl
findbugs,2,446,6745,3,0.0044642857142857,0.9376042245692052,0.9376042245692052,0.0088300220750551,TwelveMonkeys
findbugs,1,140,1946,18,0.0070921985815602,0.9249406175771973,0.9249406175771973,0.0124999999999999,Wikidata-Toolkit
findbugs,2,230,1476,3,0.0086206896551724,0.863822326125073,0.863822326125073,0.0168776371308016,XChart
findbugs,0,0,13,30,0.0,0.3023255813953488,0.3023255813953488,0.0,aesh
findbugs,0,538,74,0,0.0,0.1209150326797385,0.1209150326797385,0.0,antlr4
findbugs,4,0,12,153,1.0,0.0946745562130177,0.0946745562130177,0.0496894409937888,api-themoviedb
findbugs,0,1467,8,0,0.0,0.0054237288135593,0.0054237288135593,0.0,appkit
findbugs,2,134,866,27,0.0147058823529411,0.8435374149659864,0.8435374149659864,0.0242424242424242,as2-lib
findbugs,2,2717,11999,5,0.0007355645457888,0.8151192012497454,0.8151192012497454,0.0014673514306676,biojava
findbugs,0,1279,9776,1,0.0,0.8842257597684515,0.8842257597684515,0.0,bitcoinj
findbugs,1,18,55,1,0.0526315789473684,0.7466666666666667,0.7466666666666667,0.0952380952380952,bitvunit
findbugs,13,372,2732,20,0.0337662337662337,0.8750398469875678,0.8750398469875678,0.062200956937799,blueprints
findbugs,16,28,189,32,0.3636363636363636,0.7735849056603774,0.7735849056603774,0.3478260869565217,candybean
findbugs,10,86,174,69,0.1041666666666666,0.5427728613569321,0.5427728613569321,0.1142857142857143,cassandra-lucene-index
findbugs,4,103,643,71,0.0373831775700934,0.7880633373934226,0.7880633373934226,0.0439560439560439,cassandra-reaper
findbugs,1,1634,4801,18,0.000611620795107,0.7440347071583514,0.7440347071583514,0.0012091898428053,cdi-tck
findbugs,5,44,414,12,0.1020408163265306,0.8821052631578947,0.8821052631578947,0.1515151515151515,chicory
findbugs,33,463,5020,212,0.0665322580645161,0.8821578212290503,0.8821578212290503,0.0890688259109311,choco3
findbugs,1,344,8,0,0.0028985507246376,0.0254957507082152,0.0254957507082152,0.0057803468208092,clojure
findbugs,0,0,4,0,0.0,1.0,1.0,0.0,closure-templates
findbugs,1,384,1182,9,0.0025974025974025,0.7506345177664975,0.7506345177664975,0.0050632911392405,cloud-slang
findbugs,2,12,30,2,0.1428571428571428,0.6956521739130435,0.6956521739130435,0.2222222222222222,commons
findbugs,54,322,3270,425,0.1436170212765957,0.8165070007369197,0.8165070007369197,0.1263157894736842,commons-bcel
findbugs,0,46,863,17,0.0,0.9319654427645788,0.9319654427645788,0.0,commons-codec
findbugs,1,125,2125,32,0.0079365079365079,0.9312308366184844,0.9312308366184844,0.0125786163522012,commons-compress
findbugs,37,1493,967,150,0.0241830065359477,0.3792973177181715,0.3792973177181715,0.0430984274898078,commons-dbcp
findbugs,0,73,171,0,0.0,0.7008196721311475,0.7008196721311475,0.0,commons-fileupload
findbugs,12,307,2103,75,0.0376175548589341,0.8470164197036444,0.8470164197036444,0.0591133004926108,commons-lang
findbugs,0,0,0,0,0.0,0.0,0.0,0.0,commons-math
findbugs,0,6,75,18,0.0,0.7575757575757576,0.7575757575757576,0.0,connector4java
findbugs,3,154,752,17,0.019108280254777,0.8153347732181425,0.8153347732181425,0.0338983050847457,couchbase-java-client
findbugs,0,198,1356,0,0.0,0.8725868725868726,0.8725868725868726,0.0,craft-atom
findbugs,2,57,345,9,0.0338983050847457,0.8401937046004843,0.8401937046004843,0.0571428571428571,creadur-rat
findbugs,0,95,1124,256,0.0,0.7620338983050847,0.7620338983050847,0.0,csvjdbc
findbugs,1033,585,1903,228,0.638442521631644,0.7831421712456655,0.7831421712456655,0.7176102813476902,curator
findbugs,4,98,484,20,0.0392156862745098,0.8052805280528053,0.8052805280528053,0.0634920634920634,dandelion
findbugs,1,802,7061,22,0.0012453300124533,0.895511032208978,0.895511032208978,0.0024213075060532,dari
findbugs,12,317,5065,91,0.0364741641337386,0.9256153144940747,0.9256153144940747,0.0555555555555555,dasein-cloud-aws
findbugs,1,101,1409,11,0.0098039215686274,0.926412614980289,0.926412614980289,0.0175438596491228,dasein-cloud-azure
findbugs,6,501,3032,115,0.0118343195266272,0.8314176245210728,0.8314176245210728,0.019108280254777,dasein-cloud-core
findbugs,9,187,1083,44,0.0459183673469387,0.8253968253968254,0.8253968253968254,0.072289156626506,dasein-cloud-google
findbugs,8,97,2106,64,0.0761904761904762,0.9292307692307692,0.9292307692307692,0.0903954802259887,dasein-cloud-openstack
findbugs,0,188,754,0,0.0,0.8004246284501062,0.8004246284501062,0.0,datasift-java
findbugs,0,201,1503,0,0.0,0.8820422535211268,0.8820422535211268,0.0,depot
findbugs,2,172,393,3,0.0114942528735632,0.6929824561403509,0.6929824561403509,0.0223463687150838,digipost-api-client-java
findbugs,0,591,2738,0,0.0,0.8224692099729649,0.8224692099729649,0.0,directory-fortress-core
findbugs,0,4097,6364,3,0.0,0.6081804281345565,0.6081804281345565,0.0,directory-server
findbugs,10,53,257,42,0.1587301587301587,0.7375690607734806,0.7375690607734806,0.1739130434782608,docker-maven-plugin
findbugs,5,330,796,18,0.0149253731343283,0.6971279373368147,0.6971279373368147,0.0279329608938547,dropwizard
findbugs,24,96,290,74,0.2,0.6487603305785123,0.6487603305785123,0.2201834862385321,dungeon
findbugs,5,303,609,26,0.0162337662337662,0.6511134676564156,0.6511134676564156,0.0294985250737463,easy-batch
findbugs,17,508,2134,69,0.0323809523809523,0.7884897360703812,0.7884897360703812,0.055646481178396,effektif
findbugs,6,372,3389,69,0.0158730158730158,0.885036496350365,0.885036496350365,0.0264900662251655,epubcheck
findbugs,37,768,2461,50,0.0459627329192546,0.7533172496984318,0.7533172496984318,0.0829596412556053,error-prone
findbugs,214,1016,6299,663,0.1739837398373983,0.7950439453125,0.7950439453125,0.2031324157570004,es6draft
findbugs,0,22,266,3,0.0,0.9140893470790378,0.9140893470790378,0.0,experimaestro
findbugs,5,58,362,6,0.0793650793650793,0.851508120649652,0.851508120649652,0.1351351351351351,extdirectspring
findbugs,0,234,2288,2,0.0,0.9064976228209192,0.9064976228209192,0.0,facebook4j
findbugs,3,191,0,0,0.0154639175257731,0.0154639175257731,0.0154639175257731,0.0304568527918781,fb-contrib
findbugs,0,1009,7552,9,0.0,0.8812135355892649,0.8812135355892649,0.0,finmath-lib
findbugs,7,268,2707,34,0.0254545454545454,0.899867374005305,0.899867374005305,0.0443037974683544,firefly
findbugs,54,88,824,185,0.380281690140845,0.7628149435273676,0.7628149435273676,0.2834645669291338,fiware-cygnus
findbugs,0,92,461,1,0.0,0.8321299638989169,0.8321299638989169,0.0,flatpack
findbugs,0,626,2399,8,0.0,0.7909660402242005,0.7909660402242005,0.0,gedcomx-java
findbugs,3,55,1084,15,0.0517241379310344,0.9394987035436474,0.9394987035436474,0.0789473684210526,git-client-plugin
findbugs,7,116,388,22,0.056910569105691,0.7410881801125704,0.7410881801125704,0.0921052631578947,github-api
findbugs,0,239,553,296,0.0,0.5082720588235294,0.5082720588235294,0.0,gooddata-java
findbugs,34,1875,1250,1,0.0178103719224725,0.4063291139240506,0.4063291139240506,0.0349794238683127,gradoop
findbugs,33,1357,131,0,0.0237410071942446,0.1078238001314924,0.1078238001314924,0.0463808854532677,guava
findbugs,12,124,965,33,0.088235294117647,0.8615520282186949,0.8615520282186949,0.1325966850828729,gwtbootstrap3
findbugs,0,1271,7188,1,0.0,0.849645390070922,0.849645390070922,0.0,hasor
findbugs,345,1159,3445,858,0.2293882978723404,0.6526605820561392,0.6526605820561392,0.254894717399335,hazelcast
findbugs,29,541,3641,3,0.0508771929824561,0.8709065021357381,0.8709065021357381,0.0963455149501661,hk2
findbugs,0,47,473,0,0.0,0.9096153846153846,0.9096153846153846,0.0,hppc
findbugs,81,1336,1595,131,0.0571630204657727,0.5332484887050588,0.5332484887050588,0.0994475138121546,httpclient
