Rule name,Classification
AM_CREATES_EMPTY_JAR_FILE_ENTRY,Interface
AM_CREATES_EMPTY_ZIP_FILE_ENTRY,Interface
AT_OPERATION_SEQUENCE_ON_CONCURRENT_ABSTRACTION,Concurrency
BAC,Logic
BAC_BAD_APPLET_CONSTRUCTOR,Logic
BC,Multiple
BC_BAD_CAST_TO_ABSTRACT_COLLECTION,Best Practices
BC_BAD_CAST_TO_CONCRETE_COLLECTION,Best Practices
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,Logic
BC_IMPOSSIBLE_CAST,Resource
BC_IMPOSSIBLE_DOWNCAST,Resource
BC_IMPOSSIBLE_DOWNCAST_OF_TOARRAY,Resource
BC_IMPOSSIBLE_INSTANCEOF,Logic
BC_UNCONFIRMED_CAST,Check
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,Check
BC_VACUOUS_INSTANCEOF,Refactorings - Redundancies
BIT_ADD_OF_SIGNED_BYTE,Logic
BIT_AND,Logic
BIT_AND_ZZ,Logic
BIT_IOR,Logic
BIT_IOR_OF_SIGNED_BYTE,Logic
BIT_SIGNED_CHECK,Logic
BIT_SIGNED_CHECK_HIGH_BIT,Logic
BOA_BADLY_OVERRIDDEN_ADAPTER,Interface
Bx,Best Practices
BX_BOXING_IMMEDIATELY_UNBOXED,Best Practices
BX_BOXING_IMMEDIATELY_UNBOXED_TO_PERFORM_COERCION,Best Practices
BX_UNBOXED_AND_COERCED_FOR_TERNARY_OPERATOR,Best Practices
BX_UNBOXING_IMMEDIATELY_REBOXED,Best Practices
CD,Code Structure
CD_CIRCULAR_DEPENDENCY,Code Structure
CI_CONFUSED_INHERITANCE,Object Oriented Design
CN,Interface
CN_IDIOM,Interface
CN_IDIOM_NO_SUPER_CALL,Interface
CN_IMPLEMENTS_CLONE_BUT_NOT_CLONEABLE,Interface
CNT_ROUGH_CONSTANT_VALUE,Best Practices
Co,Multiple
CO_ABSTRACT_SELF,Interface
CO_COMPARETO_RESULTS_MIN_VALUE,Logic
CO_SELF_NO_OBJECT,Interface
DB_DUPLICATE_BRANCHES,Logic
DB_DUPLICATE_SWITCH_CLAUSES,Logic
DC,Concurrency
DC_DOUBLECHECK,Concurrency
DE,Error Handling
DE_MIGHT_DROP,Error Handling
DE_MIGHT_IGNORE,Error Handling
DL,Concurrency
DL_SYNCHRONIZATION_ON_BOOLEAN,Concurrency
DL_SYNCHRONIZATION_ON_BOXED_PRIMITIVE,Concurrency
DL_SYNCHRONIZATION_ON_SHARED_CONSTANT,Concurrency
DL_SYNCHRONIZATION_ON_UNSHARED_BOXED_PRIMITIVE,Concurrency
DLS,Multiple
DLS_DEAD_LOCAL_INCREMENT_IN_RETURN,Logic
DLS_DEAD_LOCAL_STORE,Refactorings - Redundancies
DLS_DEAD_LOCAL_STORE_IN_RETURN,Logic
DLS_DEAD_LOCAL_STORE_OF_NULL,Refactorings - Redundancies
DLS_DEAD_LOCAL_STORE_SHADOWS_FIELD,Logic
DLS_DEAD_STORE_OF_CLASS_LITERAL,Migration
DLS_OVERWRITTEN_INCREMENT,Logic
Dm,Multiple
DM_BOOLEAN_CTOR,Best Practices
DM_BOXED_PRIMITIVE_FOR_PARSING,Best Practices
DM_BOXED_PRIMITIVE_TOSTRING,Best Practices
DM_CONVERT_CASE,Logic
DM_DEFAULT_ENCODING,Interface
DM_EXIT,Best Practices
DM_FP_NUMBER_CTOR,Best Practices
DM_GC,Best Practices
DM_MONITOR_WAIT_ON_CONDITION,Concurrency
DM_NEW_FOR_GETCLASS,Best Practices
DM_NEXTINT_VIA_NEXTDOUBLE,Best Practices
DM_NUMBER_CTOR,Best Practices
DM_RUN_FINALIZERS_ON_EXIT,Resource
DM_STRING_CTOR,Best Practices
DM_STRING_TOSTRING,Refactorings - Redundancies
DM_STRING_VOID_CTOR,Best Practices
DM_USELESS_THREAD,Concurrency
DMI_ANNOTATION_IS_NOT_VISIBLE_TO_REFLECTION,Best Practices
DMI_ARGUMENTS_WRONG_ORDER,Interface
DMI_BAD_MONTH,Logic
DMI_BIGDECIMAL_CONSTRUCTED_FROM_DOUBLE,Resource
DMI_BLOCKING_METHODS_ON_URL,Best Practices
DMI_CALLING_NEXT_FROM_HASNEXT,Logic
DMI_COLLECTION_OF_URLS,Best Practices
DMI_COLLECTIONS_SHOULD_NOT_CONTAIN_THEMSELVES,Interface
DMI_CONSTANT_DB_PASSWORD,Best Practices
DMI_DOH,Logic
DMI_EMPTY_DB_PASSWORD,Best Practices
DMI_ENTRY_SETS_MAY_REUSE_ENTRY_OBJECTS,Resource
DMI_FUTILE_ATTEMPT_TO_CHANGE_MAXPOOL_SIZE_OF_SCHEDULED_THREAD_POOL_EXECUTOR,Concurrency
DMI_HARDCODED_ABSOLUTE_FILENAME,Best Practices
DMI_INVOKING_HASHCODE_ON_ARRAY,Interface
DMI_INVOKING_TOSTRING_ON_ANONYMOUS_ARRAY,Interface
DMI_INVOKING_TOSTRING_ON_ARRAY,Interface
DMI_LONG_BITS_TO_DOUBLE_INVOKED_ON_INT,Interface
DMI_NONSERIALIZABLE_OBJECT_WRITTEN,Interface
DMI_RANDOM_USED_ONLY_ONCE,Interface
DMI_SCHEDULED_THREAD_POOL_EXECUTOR_WITH_ZERO_CORE_THREADS,Concurrency
DMI_THREAD_PASSED_WHERE_RUNNABLE_EXPECTED,Concurrency
DMI_UNSUPPORTED_METHOD,Interface
DMI_USELESS_SUBSTRING,Refactorings - Redundancies
DMI_USING_REMOVEALL_TO_CLEAR_COLLECTION,Best Practices
DMI_VACUOUS_CALL_TO_EASYMOCK_METHOD,Interface
DMI_VACUOUS_SELF_COLLECTION_CALL,Refactorings - Redundancies
DP,Interface
DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,Interface
DP_DO_INSIDE_DO_PRIVILEGED,Interface
EC,Logic
EC_ARRAY_AND_NONARRAY,Logic
EC_BAD_ARRAY_COMPARE,Logic
EC_INCOMPATIBLE_ARRAY_COMPARE,Logic
EC_NULL_ARG,Logic
EC_UNRELATED_CLASS_AND_INTERFACE,Logic
EC_UNRELATED_INTERFACES,Logic
EC_UNRELATED_TYPES,Logic
EC_UNRELATED_TYPES_USING_POINTER_EQUALITY,Logic
EI,Interface
EI_EXPOSE_REP,Interface
EI_EXPOSE_REP2,Interface
EI_EXPOSE_STATIC_REP2,Interface
EI2,Interface
Eq,Multiple
EQ_ABSTRACT_SELF,Interface
EQ_ALWAYS_FALSE,Logic
EQ_ALWAYS_TRUE,Logic
EQ_CHECK_FOR_OPERAND_NOT_COMPATIBLE_WITH_THIS,Logic
EQ_COMPARETO_USE_OBJECT_EQUALS,Interface
EQ_COMPARING_CLASS_NAMES,Logic
EQ_DOESNT_OVERRIDE_EQUALS,Interface
EQ_DONT_DEFINE_EQUALS_FOR_ENUM,Interface
EQ_GETCLASS_AND_CLASS_CONSTANT,Logic
EQ_OTHER_NO_OBJECT,Interface
EQ_OTHER_USE_OBJECT,Interface
EQ_OVERRIDING_EQUALS_NOT_SYMMETRIC,Logic
EQ_SELF_NO_OBJECT,Interface
EQ_SELF_USE_OBJECT,Interface
EQ_UNUSUAL,Logic
ES,Logic
ES_COMPARING_PARAMETER_STRING_WITH_EQ,Logic
ES_COMPARING_STRINGS_WITH_EQ,Logic
ESync,Concurrency
ESync_EMPTY_SYNC,Concurrency
FB,Tool Specific
FB_MISSING_EXPECTED_WARNING,Tool Specific
FB_UNEXPECTED_WARNING,Tool Specific
FE,Logic
FE_FLOATING_POINT_EQUALITY,Logic
FE_TEST_IF_EQUAL_TO_NOT_A_NUMBER,Logic
FI_EMPTY,Refactorings - Redundancies
FI_EXPLICIT_INVOCATION,Resource
FI_FINALIZER_NULLS_FIELDS,Refactorings - Redundancies
FI_FINALIZER_ONLY_NULLS_FIELDS,Refactorings - Redundancies
FI_MISSING_SUPER_CALL,Interface
FI_NULLIFY_SUPER,Resource
FI_PUBLIC_SHOULD_BE_PROTECTED,Interface
FI_USELESS,Refactorings - Redundancies
FL_MATH_USING_FLOAT_PRECISION,Logic
GC_UNCHECKED_TYPE_IN_GENERIC_CALL,Best Practices
GC_UNRELATED_TYPES,Interface
HE_EQUALS_NO_HASHCODE,Interface
HE_EQUALS_USE_HASHCODE,Interface
HE_HASHCODE_NO_EQUALS,Interface
HE_HASHCODE_USE_OBJECT_EQUALS,Interface
HE_INHERITS_EQUALS_USE_HASHCODE,Interface
HE_SIGNATURE_DECLARES_HASHING_OF_UNHASHABLE_CLASS,Interface
HE_USE_OF_UNHASHABLE_CLASS,Interface
HRS,Interface
HRS_REQUEST_PARAMETER_TO_COOKIE,Interface
HRS_REQUEST_PARAMETER_TO_HTTP_HEADER,Interface
HSC,Best Practices
HSC_HUGE_SHARED_STRING_CONSTANT,Best Practices
IA,Best Practices
IA_AMBIGUOUS_INVOCATION_OF_INHERITED_OR_OUTER_METHOD,Best Practices
IC,Interface
IC_INIT_CIRCULARITY,Interface
IC_SUPERCLASS_USES_SUBCLASS_DURING_INITIALIZATION,Interface
ICAST,Logic
ICAST_BAD_SHIFT_AMOUNT,Logic
ICAST_IDIV_CAST_TO_DOUBLE,Logic
ICAST_INT_2_LONG_AS_INSTANT,Logic
ICAST_INT_CAST_TO_DOUBLE_PASSED_TO_CEIL,Logic
ICAST_INT_CAST_TO_FLOAT_PASSED_TO_ROUND,Logic
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,Logic
ICAST_QUESTIONABLE_UNSIGNED_RIGHT_SHIFT,Logic
IIO_INEFFICIENT_INDEX_OF,Best Practices
IIO_INEFFICIENT_LAST_INDEX_OF,Best Practices
IJU,Multiple
IJU_ASSERT_METHOD_INVOKED_FROM_RUN_METHOD,Logic
IJU_BAD_SUITE_METHOD,Interface
IJU_NO_TESTS,Refactorings - Redundancies
IJU_SETUP_NO_SUPER,Interface
IJU_SUITE_NOT_STATIC,Interface
