Rule name,Classification
android.xml,Best Practices
android.xml/CallSuperFirst,Best Practices
android.xml/CallSuperLast,Best Practices
android.xml/DoNotHardCodeSDCard,Best Practices
basic.xml,Multiple
basic.xml/AvoidBranchingStatementAsLastInLoop,Logic
basic.xml/AvoidDecimalLiteralsInBigDecimalConstructor,Resource
basic.xml/AvoidMultipleUnaryOperators,Logic
basic.xml/AvoidThreadGroup,Concurrency
basic.xml/AvoidUsingHardCodedIP,Best Practices
basic.xml/AvoidUsingOctalValues,Resource
basic.xml/BigIntegerInstantiation,Best Practices
basic.xml/BooleanInstantiation,Refactorings - Simplifications
basic.xml/BrokenNullCheck,Logic
basic.xml/CheckResultSet,Check
basic.xml/CheckSkipResult,Check
basic.xml/ClassCastExceptionWithToArray,Interface
basic.xml/CollapsibleIfStatements,Refactorings - Simplifications
basic.xml/DontCallThreadRun,Concurrency
basic.xml/DontUseFloatTypeForLoopIndices,Resource
basic.xml/DoubleCheckedLocking,Concurrency
basic.xml/EmptyCatchBlock,Refactorings - Redundancies
basic.xml/EmptyFinallyBlock,Refactorings - Redundancies
basic.xml/EmptyIfStmt,Refactorings - Redundancies
basic.xml/EmptyInitializer,Refactorings - Redundancies
basic.xml/EmptyStatementBlock,Refactorings - Redundancies
basic.xml/EmptyStatementNotInLoop,Refactorings - Redundancies
basic.xml/EmptyStaticInitializer,Refactorings - Redundancies
basic.xml/EmptySwitchStatements,Refactorings - Redundancies
basic.xml/EmptySynchronizedBlock,Refactorings - Redundancies
basic.xml/EmptyTryBlock,Refactorings - Redundancies
basic.xml/EmptyWhileStmt,Refactorings - Redundancies
basic.xml/ExtendsObject,Object Oriented Design
basic.xml/ForLoopShouldBeWhileLoop,Refactorings - Simplifications
basic.xml/JumbledIncrementer,Logic
basic.xml/MisplacedNullCheck,Logic
basic.xml/OverrideBothEqualsAndHashcode,Interface
basic.xml/ReturnFromFinallyBlock,Error Handling
basic.xml/UnconditionalIfStatement,Refactorings - Redundancies
basic.xml/UnnecessaryConversionTemporary,Refactorings - Redundancies
basic.xml/UnnecessaryFinalModifier,Refactorings - Redundancies
basic.xml/UnnecessaryReturn,Refactorings - Redundancies
basic.xml/UnusedNullCheckInEquals,Logic
basic.xml/UselessOperationOnImmutable,Refactorings - Redundancies
basic.xml/UselessOverridingMethod,Refactorings - Redundancies
basic.xml/UselessParentheses,Refactorings - Redundancies
braces.xml,Style Conventions
braces.xml/ForLoopsMustUseBraces,Style Conventions
braces.xml/IfElseStmtsMustUseBraces,Style Conventions
braces.xml/IfStmtsMustUseBraces,Style Conventions
braces.xml/WhileLoopsMustUseBraces,Style Conventions
clone.xml,Interface
clone.xml/CloneMethodMustImplementCloneable,Interface
clone.xml/CloneThrowsCloneNotSupportedException,Interface
clone.xml/ProperCloneImplementation,Interface
codesize.xml,Metric
codesize.xml/CyclomaticComplexity,Metric
codesize.xml/ExcessiveClassLength,Metric
codesize.xml/ExcessiveMethodLength,Metric
codesize.xml/ExcessiveParameterList,Metric
codesize.xml/ExcessivePublicCount,Metric
codesize.xml/ModifiedCyclomaticComplexity,Metric
codesize.xml/NcssConstructorCount,Metric
codesize.xml/NcssMethodCount,Metric
codesize.xml/NcssTypeCount,Metric
codesize.xml/NPathComplexity,Metric
codesize.xml/StdCyclomaticComplexity,Metric
codesize.xml/TooManyFields,Metric
codesize.xml/TooManyMethods,Metric
comments.xml,Documentation Conventions
comments.xml/CommentContent,Documentation Conventions
comments.xml/CommentRequired,Documentation Conventions
comments.xml/CommentSize,Metric
controversial.xml,Multiple
controversial.xml/AssignmentInOperand,Best Practices
controversial.xml/AtLeastOneConstructor,Interface
controversial.xml/AvoidAccessibilityAlteration,Object Oriented Design
controversial.xml/AvoidFinalLocalVariable,Best Practices
controversial.xml/AvoidLiteralsInIfCondition,Best Practices
controversial.xml/AvoidPrefixingMethodParameters,Naming Conventions
controversial.xml/AvoidUsingNativeCode,Best Practices
controversial.xml/AvoidUsingShortType,Best Practices
controversial.xml/AvoidUsingVolatile,Best Practices
controversial.xml/BooleanInversion,Best Practices
controversial.xml/CallSuperInConstructor,Object Oriented Design
controversial.xml/DataflowAnomalyAnalysis,Resource
controversial.xml/DefaultPackage,Object Oriented Design
controversial.xml/DoNotCallGarbageCollectionExplicitly,Best Practices
controversial.xml/DontImportSun,Code Structure
controversial.xml/NullAssignment,Refactorings - Redundancies
controversial.xml/OneDeclarationPerLine,Best Practices
controversial.xml/OnlyOneReturn,Best Practices
controversial.xml/SuspiciousOctalEscape,Logic
controversial.xml/UnnecessaryConstructor,Refactorings - Redundancies
controversial.xml/UnnecessaryParentheses,Refactorings - Redundancies
controversial.xml/UseConcurrentHashMap,Concurrency
controversial.xml/UseObjectForClearerAPI,Object Oriented Design
coupling.xml,Multiple
coupling.xml/CouplingBetweenObjects,Metric
coupling.xml/ExcessiveImports,Metric
coupling.xml/LawOfDemeter,Object Oriented Design
coupling.xml/LooseCoupling,Object Oriented Design
coupling.xml/LoosePackageCoupling,Object Oriented Design
design.xml,Multiple
design.xml/AbstractClassWithoutAbstractMethod,Interface
design.xml/AbstractClassWithoutAnyMethod,Interface
design.xml/AccessorClassGeneration,Interface
design.xml/AssignmentToNonFinalStatic,Resource
design.xml/AvoidConstantsInterface,Object Oriented Design
design.xml/AvoidDeeplyNestedIfStmts,Metric
design.xml/AvoidInstanceofChecksInCatchClause,Error Handling
design.xml/AvoidProtectedFieldInFinalClass,Object Oriented Design
design.xml/AvoidProtectedMethodInFinalClassNotExtending,Object Oriented Design
design.xml/AvoidReassigningParameters,Best Practices
design.xml/AvoidSynchronizedAtMethodLevel,Concurrency
design.xml/BadComparison,Logic
design.xml/ClassWithOnlyPrivateConstructorsShouldBeFinal,Best Practices
design.xml/CloseResource,Resource
design.xml/CompareObjectsWithEquals,Logic
design.xml/ConfusingTernary,Best Practices
design.xml/ConstructorCallsOverridableMethod,Interface
design.xml/DefaultLabelNotLastInSwitchStmt,Best Practices
design.xml/EmptyMethodInAbstractClassShouldBeAbstract,Interface
design.xml/EqualsNull,Logic
design.xml/FieldDeclarationsShouldBeAtStartOfClass,Best Practices
design.xml/FinalFieldCouldBeStatic,Best Practices
design.xml/GodClass,Metric
design.xml/IdempotentOperations,Refactorings - Redundancies
design.xml/ImmutableField,Best Practices
design.xml/InstantiationToGetClass,Object Oriented Design
design.xml/LogicInversion,Refactorings - Simplifications
design.xml/MissingBreakInSwitch,Logic
